Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax,codaP,onsetP
"('R',)",deride,XC,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,20,False,True,0.9312625250501001,0.2281949382974273
"('R',)",deride,CX,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,1,False,True,0.06873747494989979,0.7718050617025726
"('R',)",deride,X,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,0,False,True,,
"('S', 'T', 'R')",destroy,XC,0.3218859361188506,0.22243335590556876,0.45568070797558063,0.0,XC,0.25,0.25,0.25,0.25,11,False,True,0.7741129435282359,0.013204572329523061
"('S', 'T', 'R')",destroy,CX,0.3218859361188506,0.22243335590556876,0.45568070797558063,0.0,XC,0.25,0.25,0.25,0.25,9,False,True,0.15858737298017658,0.04454079621600315
"('S', 'T', 'R')",destroy,CCX,0.3218859361188506,0.22243335590556876,0.45568070797558063,0.0,XC,0.25,0.25,0.25,0.25,1,False,True,0.06729968349158755,0.21501773748521877
"('S', 'T', 'R')",destroy,CCCX,0.3218859361188506,0.22243335590556876,0.45568070797558063,0.0,XC,0.25,0.25,0.25,0.25,0,False,True,0.0,0.7272368939692551
"('S', 'T', 'R')",destroy,X,0.3218859361188506,0.22243335590556876,0.45568070797558063,0.0,XC,0.25,0.25,0.25,0.25,0,False,True,,
"('G', 'M')",quagmire,XC,0.0,1.0,0.0,0,CX,0,1,0,0,2,True,True,0.9791403286978507,0.0
"('G', 'M')",quagmire,CX,0.0,1.0,0.0,0,CX,0,1,0,0,19,True,True,0.020859671302149177,0.20593931568754034
"('G', 'M')",quagmire,CCX,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,True,0.0,0.7940606843124597
"('G', 'M')",quagmire,X,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,True,,
"('S', 'P')",dispatch,XC,0.3891201071817812,0.5891543865112147,0.021725506307004105,0,XC,0.25,0.25,0.25,0,4,False,True,0.8286376604850213,0.02686817800167926
"('S', 'P')",dispatch,CX,0.3891201071817812,0.5891543865112147,0.021725506307004105,0,XC,0.25,0.25,0.25,0,17,False,True,0.16975748930099854,0.1985726280436608
"('S', 'P')",dispatch,CCX,0.3891201071817812,0.5891543865112147,0.021725506307004105,0,XC,0.25,0.25,0.25,0,0,False,True,0.0016048502139800285,0.77455919395466
"('S', 'P')",dispatch,X,0.3891201071817812,0.5891543865112147,0.021725506307004105,0,XC,0.25,0.25,0.25,0,0,False,True,,
"('S', 'T')",postal,XC,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0,0,1,0,14,True,False,0.7741129435282359,0.045423881268270745
"('S', 'T')",postal,CX,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0,0,1,0,6,True,False,0.15858737298017658,0.12480323813807061
