Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax
"('JH', 'L')",fledgling,CCX,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,True
"('JH', 'L')",fledgling,X,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,True
"('R',)",terrain,XC,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,10,False,True
"('R',)",terrain,CX,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,11,False,True
"('R',)",terrain,X,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,1,False,True
"('D',)",caudal,XC,0.6414686808130189,0.3585313191869811,0,0,XC,0.25,0.25,0,0,17,True,False
"('D',)",caudal,CX,0.6414686808130189,0.3585313191869811,0,0,XC,0.25,0.25,0,0,5,True,False
"('D',)",caudal,X,0.6414686808130189,0.3585313191869811,0,0,XC,0.25,0.25,0,0,0,True,False
"('R', 'CH')",courtship,XC,0.0,0.5546812773044338,0.4453187226955661,0,CX,0,1,0,0,0,True,True
"('R', 'CH')",courtship,CX,0.0,0.5546812773044338,0.4453187226955661,0,CX,0,1,0,0,0,True,True
"('R', 'CH')",courtship,CCX,0.0,0.5546812773044338,0.4453187226955661,0,CX,0,1,0,0,22,True,True
"('R', 'CH')",courtship,X,0.0,0.5546812773044338,0.4453187226955661,0,CX,0,1,0,0,0,True,True
"('R',)",syrup,XC,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,5,True,True
"('R',)",syrup,CX,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,17,True,True
"('R',)",syrup,X,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,0,True,True
"('F',)",taffy,XC,0.8541418381685908,0.1458581618314093,0,0,XC,0.25,0.25,0,0,15,True,True
"('F',)",taffy,CX,0.8541418381685908,0.1458581618314093,0,0,XC,0.25,0.25,0,0,7,True,True
"('F',)",taffy,X,0.8541418381685908,0.1458581618314093,0,0,XC,0.25,0.25,0,0,0,True,True
"('K', 'T')",tactile,XC,0.0,0.4823521675516612,0.5176478324483388,0,CX,0.25,0.25,0.25,0,1,True,True
"('K', 'T')",tactile,CX,0.0,0.4823521675516612,0.5176478324483388,0,CX,0.25,0.25,0.25,0,20,True,True
"('K', 'T')",tactile,CCX,0.0,0.4823521675516612,0.5176478324483388,0,CX,0.25,0.25,0.25,0,0,True,True
"('K', 'T')",tactile,X,0.0,0.4823521675516612,0.5176478324483388,0,CX,0.25,0.25,0.25,0,1,True,True
"('N', 'D', 'R')",syndrome,XC,0.0,0.5517449729311679,0.4482550270688322,0.0,CX,0.25,0.25,0.25,0.25,0,True,True
