Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax,codaP,onsetP
"('R', 'TH', 'W')",worthwhile,XC,0.0,0.10973495169680454,0.8902650483031954,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,0.943472239707919,0.0
"('R', 'TH', 'W')",worthwhile,CX,0.0,0.10973495169680454,0.8902650483031954,0.0,CX,0.25,0.25,0.25,0.25,1,True,True,0.05577237819463679,0.00016458196181698485
"('R', 'TH', 'W')",worthwhile,CCX,0.0,0.10973495169680454,0.8902650483031954,0.0,CX,0.25,0.25,0.25,0.25,20,True,True,0.0007553820974442907,0.09858459512837393
"('R', 'TH', 'W')",worthwhile,CCCX,0.0,0.10973495169680454,0.8902650483031954,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,0.0,0.9012508229098091
"('R', 'TH', 'W')",worthwhile,X,0.0,0.10973495169680454,0.8902650483031954,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,,
"('V',)",woven,XC,0.5737859575335379,0.426214042466462,0,0,XC,0,1,0,0,19,True,False,0.9457344775365977,0.07170706899474488
"('V',)",woven,CX,0.5737859575335379,0.426214042466462,0,0,XC,0,1,0,0,2,True,False,0.05426552246340232,0.9282929310052551
"('V',)",woven,X,0.5737859575335379,0.426214042466462,0,0,XC,0,1,0,0,0,True,False,,
"('CH',)",ratchet,XC,0.7044137656328234,0.29558623436717657,0,0,XC,0.25,0.25,0,0,11,True,True,0.9847568988173455,0.03557590700951039
"('CH',)",ratchet,CX,0.7044137656328234,0.29558623436717657,0,0,XC,0.25,0.25,0,0,10,True,True,0.015243101182654399,0.9644240929904896
